Channel Id,Channel Url,Channel Title
UCAaegDUlb7doIKo0Rc1F08g,http://www.youtube.com/channel/UCAaegDUlb7doIKo0Rc1F08g,GTLive
UCAbAsEZ-0LccTNbl8r-3EaQ,http://www.youtube.com/channel/UCAbAsEZ-0LccTNbl8r-3EaQ,Scott Yu-Jan
UCAgm5Hr26bXjkqbu5gfdMoA,http://www.youtube.com/channel/UCAgm5Hr26bXjkqbu5gfdMoA,Jake Paul
UCAiLfjNXkNv24uhpzUgPa6A,http://www.youtube.com/channel/UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy
UCAobWxtnC50bqInAxXlansg,http://www.youtube.com/channel/UCAobWxtnC50bqInAxXlansg,MG코인
UCAtYkwdhJ5o32z7gS-ef5vg,http://www.youtube.com/channel/UCAtYkwdhJ5o32z7gS-ef5vg,TommyNFG
UCAuo-Cg2bZVt3YSES1tyl9w,http://www.youtube.com/channel/UCAuo-Cg2bZVt3YSES1tyl9w,SENTRY
UCAzKFALPuF_EPe-AEI0WFFw,http://www.youtube.com/channel/UCAzKFALPuF_EPe-AEI0WFFw,TwoSetViolin
UCB4NFn-8oipHct0IfAQBQrQ,http://www.youtube.com/channel/UCB4NFn-8oipHct0IfAQBQrQ,Unnecessary Inventions
UCB5OMq90vzm_cpoNXxqPMfA,http://www.youtube.com/channel/UCB5OMq90vzm_cpoNXxqPMfA,Grant Wisler
UCBBZA20wLOxdorik68PRDRQ,http://www.youtube.com/channel/UCBBZA20wLOxdorik68PRDRQ,brainfurt
UCBCcSQOuywazydXCnL-ciWw,http://www.youtube.com/channel/UCBCcSQOuywazydXCnL-ciWw,Jake Paul
UCBEf0BsJKOcE5hYuDgrqjgw,http://www.youtube.com/channel/UCBEf0BsJKOcE5hYuDgrqjgw,Jack Grady Magic
UCBJycsmduvYEL83R_U4JriQ,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee
UCBMvWaA97BAegvJ_Hz6Vwuw,http://www.youtube.com/channel/UCBMvWaA97BAegvJ_Hz6Vwuw,Yo Mama
UCBPRr5aGYpgdAcgJYcs-2VQ,http://www.youtube.com/channel/UCBPRr5aGYpgdAcgJYcs-2VQ,2Lemmy
UCB_qr75-ydFVKSF9Dmo6izg,http://www.youtube.com/channel/UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1
UCBaJVMx5fcWOHsmPH3IxKKQ,http://www.youtube.com/channel/UCBaJVMx5fcWOHsmPH3IxKKQ,Wubzzy
UCBi2mrWuNuyYy4gbM6fU18Q,http://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,ABC News
UCBn0pEwTkO-Loip6t0rYP9g,http://www.youtube.com/channel/UCBn0pEwTkO-Loip6t0rYP9g,Lava Blades 
UCBr9B1FoXLyOPJYZU_xd4Ng,http://www.youtube.com/channel/UCBr9B1FoXLyOPJYZU_xd4Ng,Dabo Life
UCBuXUfbdEx_Uwrd16_pROKw,http://www.youtube.com/channel/UCBuXUfbdEx_Uwrd16_pROKw,George Russell
UCBwOdA675vrSc6qnXIzBl9Q,http://www.youtube.com/channel/UCBwOdA675vrSc6qnXIzBl9Q,Jenkinator
UCC552Sd-3nyi_tk2BudLUzA,http://www.youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE
UCC9EjyMN_hx5NdctLBx5X7w,http://www.youtube.com/channel/UCC9EjyMN_hx5NdctLBx5X7w,Scammer Payback
UCCODtTcd5M1JavPCOr_Uydg,http://www.youtube.com/channel/UCCODtTcd5M1JavPCOr_Uydg,Extra History
UCCOrp7GPgZA8EGrbOcIAsyQ,http://www.youtube.com/channel/UCCOrp7GPgZA8EGrbOcIAsyQ,Phone Repair Guru
UCCX4DegUW9Y75M3g_0yauFA,http://www.youtube.com/channel/UCCX4DegUW9Y75M3g_0yauFA,JakePaul
UCCgK6peZI5-FKDCWzMIFk2A,http://www.youtube.com/channel/UCCgK6peZI5-FKDCWzMIFk2A,Almost Friday TV
UCClfFsWcT3N2I7VTXXyt84A,http://www.youtube.com/channel/UCClfFsWcT3N2I7VTXXyt84A,Salem Techsperts
UCCss76UdAZ0MdHQIf99eUdw,http://www.youtube.com/channel/UCCss76UdAZ0MdHQIf99eUdw,PurpledVODs
